[2023-04-01 15:12:10,688]  25 root - INFO - CONFIG for model trainer is done
[2023-04-01 15:12:10,689]  27 root - INFO - entered the data injestion method or component
[2023-04-01 15:12:10,699]  31 root - INFO - Exported the dataset as dataframe
[2023-04-01 15:12:10,707]  36 root - INFO - Train Test split Initiated
[2023-04-01 15:12:10,717]  42 root - INFO - Injestion of Data is completed
[2023-04-01 15:12:10,721]  74 root - INFO - Read train and test data completed
[2023-04-01 15:12:10,721]  76 root - INFO - obtaining preprocessing object
[2023-04-01 15:12:10,721]  41 root - INFO - Categorical columns: ['gender', 'race_ethnicity', 'parental_level_of_education', 'lunch', 'test_preparation_course']
[2023-04-01 15:12:10,722]  42 root - INFO - Numerical columns: ['writing_score', 'reading_score']
[2023-04-01 15:12:10,722]  47 root - INFO - Numerical pipeline is done
[2023-04-01 15:12:10,722]  49 root - INFO - Categorical pipeline is done
[2023-04-01 15:12:10,722]  56 root - INFO - column transformation is done
[2023-04-01 15:12:10,724]  86 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[2023-04-01 15:12:10,741]  97 root - INFO - Saved preprocessing object.
[2023-04-01 15:12:10,743]  74 root - INFO - Read train and test data completed
[2023-04-01 15:12:10,743]  76 root - INFO - obtaining preprocessing object
[2023-04-01 15:12:10,743]  41 root - INFO - Categorical columns: ['gender', 'race_ethnicity', 'parental_level_of_education', 'lunch', 'test_preparation_course']
[2023-04-01 15:12:10,743]  42 root - INFO - Numerical columns: ['writing_score', 'reading_score']
[2023-04-01 15:12:10,743]  47 root - INFO - Numerical pipeline is done
[2023-04-01 15:12:10,743]  49 root - INFO - Categorical pipeline is done
[2023-04-01 15:12:10,743]  56 root - INFO - column transformation is done
[2023-04-01 15:12:10,743]  86 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[2023-04-01 15:12:10,757]  97 root - INFO - Saved preprocessing object.
[2023-04-01 15:12:10,757]  35 root - INFO - Split training and test input data
